Date,Time,Lat,Lon,Depth,Mag,Mt,Nst,Gap,Clo,RMS,Auth,Subsrc,DbId,JtId,Typ,Time UTC,Cluster,dt,Amplitude,FI
2009/01/29,11:05:38.4700,60.4757,-152.7372,3.61,0.7,l,0,156.0,2.0,0.1,AV,hypomag,60325783,,lp,2009/01/29 11:05:38.4700,181,1.33999474347,6215.4994783,0.136390678585
2009/01/29,11:24:43.4400,60.4783,-152.7717,1.66,0.3,l,0,163.0,2.0,0.14,AV,hypomag,60325803,,lp,2009/01/29 11:24:43.4400,181,1.05000436306,3468.04325154,-0.29465288108
2009/01/29,11:38:16.6900,60.4915,-152.7463,0.6,0.1,l,0,119.0,3.0,0.11,AV,hypomag,60325818,,lp,2009/01/29 11:38:16.6900,154,1.26999914646,2072.25197999,-0.433436213993
2009/01/29,11:56:29.2900,60.5185,-152.666,2.61,0.5,l,0,276.0,4.0,0.12,AV,hypomag,60325863,,le,2009/01/29 11:56:29.2900,154,1.47999599576,4231.81190391,0.0867999259087
2009/01/29,12:28:29.1500,60.5062,-152.7658,0.0,0.6,l,0,132.0,2.0,0.05,AV,hypomag,60325883,,le,2009/01/29 12:28:29.1500,,,,
2009/01/29,12:32:42.7900,60.4772,-152.735,3.73,0.7,l,0,155.0,2.0,0.13,AV,hypomag,60325893,,le,2009/01/29 12:32:42.7900,,,,
2009/01/29,13:46:54.1000,60.5237,-152.6813,1.98,0.2,l,0,263.0,3.0,0.14,AV,hypomag,60325933,,lp,2009/01/29 13:46:54.1000,,,,
2009/01/29,13:53:46.2700,60.4975,-152.7808,-1.43,0.3,l,0,151.0,4.0,0.08,AV,hypomag,60325963,,le,2009/01/29 13:53:46.2700,expired,-0.710004195571,NaN,NaN
2009/01/29,15:55:49.0500,60.4832,-152.7635,2.76,0.2,l,0,145.0,2.0,0.12,AV,hypomag,60326033,,lp,2009/01/29 15:55:49.0500,220,0.439999625087,7288.88006965,-0.331259153862
2009/01/29,16:11:27.4300,60.4932,-152.7832,0.31,0.2,l,0,158.0,4.0,0.16,AV,hypomag,60326048,,lp,2009/01/29 16:11:27.4300,220,0.2699945122,6391.13505348,-0.217032559292
2009/01/29,16:15:15.8100,60.4835,-152.7507,3.34,0.2,l,0,125.0,2.0,0.13,AV,hypomag,60326053,,le,2009/01/29 16:15:15.8100,181,1.15000382066,3360.36250536,-0.176406329344
2009/01/29,16:18:40.1900,60.4813,-152.7407,5.53,1.0,l,0,129.0,2.0,0.1,AV,hypomag,60326058,,lp,2009/01/29 16:18:40.1900,,,,
2009/01/29,16:24:03.8500,60.5025,-152.749,-1.55,0.2,l,0,119.0,2.0,0.2,AV,hypomag,60326063,,le,2009/01/29 16:24:03.8500,154,1.32999680936,6281.47068616,-0.220902234316
2009/01/29,16:42:26.0000,60.4965,-152.7852,-1.89,0.4,l,0,156.0,4.0,0.06,AV,hypomag,60326083,,lp,2009/01/29 16:42:26.0000,229,0.409995764494,2170.78865771,-0.140567067669
2009/01/29,17:05:37.5200,60.4955,-152.757,0.34,0.0,l,0,130.0,3.0,0.01,AV,hypomag,60326093,,le,2009/01/29 17:05:37.5200,228,1.13999582827,2012.57566922,0.212795040576
2009/01/29,17:31:45.2400,60.4915,-152.7568,0.85,0.5,l,0,131.0,3.0,0.13,AV,hypomag,60326108,,le,2009/01/29 17:31:45.2400,154,1.16000175476,4984.93645981,-0.484416981781
2009/01/29,19:14:38.8700,60.467,-152.7432,1.61,0.3,l,0,182.0,1.0,0.11,AV,hypomag,60326193,,le,2009/01/29 19:14:38.8700,181,0.979998707771,2473.64296027,0.496995264551
2009/01/29,20:35:41.3200,60.4938,-152.7298,0.51,0.0,l,0,115.0,2.0,0.1,AV,hypomag,60326253,,le,2009/01/29 20:35:41.3200,,,,
2009/01/29,21:45:54.7100,60.487,-152.746,1.07,0.6,l,0,119.0,3.0,0.05,AV,hypomag,60326328,,lp,2009/01/29 21:45:54.7100,220,0.669992342591,4261.68809228,0.1101337655
