2012-09-18 04:41:04.120000, ST02 HHZ JP , trigger
2012-09-18 04:49:55.720000, ST02 HHZ JP , trigger
2012-09-18 05:29:51.120000, ST02 HHZ JP , trigger
2012-09-18 06:14:55.720000, ST02 HHZ JP , trigger
2012-09-18 06:19:55.720000, ST02 HHZ JP , trigger
2012-09-18 06:24:55.710000, ST02 HHZ JP , trigger
2012-09-18 06:34:55.720000, ST02 HHZ JP , trigger
2012-09-18 06:59:53.610000, ST02 HHZ JP , trigger
2012-09-18 07:24:55.730000, ST02 HHZ JP , trigger
2012-09-18 08:01:32.720000, ST02 HHZ JP , trigger
2012-09-18 08:09:55.710000, ST02 HHZ JP , trigger
2012-09-18 09:11:27.310000, ST02 HHZ JP , trigger
2012-09-18 11:49:27.240000, ST02 HHZ JP , trigger
2012-09-18 11:55:34.380000, ST02 HHZ JP , trigger
2012-09-18 12:06:42.450000, ST02 HHZ JP , trigger
2012-09-18 12:08:09.430000, ST02 HHZ JP , trigger
2012-09-18 12:41:29.990000, ST02 HHZ JP , trigger
2012-09-18 12:55:54.150000, ST02 HHZ JP , trigger
2012-09-18 13:04:22.120000, ST02 HHZ JP , trigger
2012-09-18 13:16:42.510000, ST02 HHZ JP , trigger
2012-09-18 13:29:43.620000, ST02 HHZ JP , trigger
2012-09-18 13:32:43.520000, ST02 HHZ JP , trigger
2012-09-18 13:38:43.120000, ST02 HHZ JP , trigger
2012-09-18 13:46:47.220000, ST02 HHZ JP , trigger
2012-09-18 13:51:16.910000, ST02 HHZ JP , trigger
2012-09-18 13:55:39.790000, ST02 HHZ JP , trigger
2012-09-18 13:59:31.600000, ST02 HHZ JP , trigger
2012-09-18 14:00:35.070000, ST02 HHZ JP , trigger
2012-09-18 14:04:49.260000, ST02 HHZ JP , trigger
2012-09-18 14:06:01.930000, ST02 HHZ JP , trigger
2012-09-18 14:13:49.900000, ST02 HHZ JP , trigger
2012-09-18 14:14:01.080000, ST02 HHZ JP , trigger
2012-09-18 14:16:40.630000, ST02 HHZ JP , trigger
2012-09-18 14:21:43.360000, ST02 HHZ JP , trigger
2012-09-18 14:23:35.260000, ST02 HHZ JP , trigger
2012-09-18 14:33:38.600000, ST02 HHZ JP , trigger
2012-09-18 14:34:58.320000, ST02 HHZ JP , trigger
2012-09-18 14:40:19.430000, ST02 HHZ JP , trigger
2012-09-18 14:46:55.290000, ST02 HHZ JP , trigger
2012-09-18 14:47:14.240000, ST02 HHZ JP , trigger
2012-09-18 14:48:07.870000, ST02 HHZ JP , trigger
2012-09-18 15:00:45, ST02 HHZ JP , trigger
2012-09-18 15:10:00.030000, ST02 HHZ JP , trigger
2012-09-18 15:12:08.610000, ST02 HHZ JP , trigger
2012-09-18 15:28:00.970000, ST02 HHZ JP , trigger
2012-09-18 15:28:31.770000, ST02 HHZ JP , trigger
2012-09-18 15:32:42.830000, ST02 HHZ JP , trigger
2012-09-18 15:37:10.210000, ST02 HHZ JP , trigger
2012-09-18 15:40:15.020000, ST02 HHZ JP , trigger
2012-09-18 15:50:00.590000, ST02 HHZ JP , trigger
2012-09-18 15:51:12.860000, ST02 HHZ JP , trigger
2012-09-18 15:58:30.730000, ST02 HHZ JP , trigger
2012-09-18 15:59:36.750000, ST02 HHZ JP , trigger
2012-09-18 16:02:34.850000, ST02 HHZ JP , trigger
2012-09-18 16:02:49.820000, ST02 HHZ JP , trigger
2012-09-18 16:04:29.730000, ST02 HHZ JP , trigger
2012-09-18 16:19:59.790000, ST02 HHZ JP , trigger
2012-09-18 16:28:33.940000, ST02 HHZ JP , trigger
2012-09-18 16:31:47.540000, ST02 HHZ JP , trigger
2012-09-18 16:48:06.980000, ST02 HHZ JP , trigger
2012-09-18 16:50:25.300000, ST02 HHZ JP , trigger
2012-09-18 16:50:40.160000, ST02 HHZ JP , trigger
2012-09-18 16:50:58.550000, ST02 HHZ JP , trigger
2012-09-18 16:56:41.480000, ST02 HHZ JP , trigger
2012-09-18 17:02:02.400000, ST02 HHZ JP , trigger
2012-09-18 17:05:15.110000, ST02 HHZ JP , trigger
2012-09-18 17:07:41.140000, ST02 HHZ JP , trigger
2012-09-18 17:09:24.490000, ST02 HHZ JP , trigger
2012-09-18 17:11:46.230000, ST02 HHZ JP , trigger
2012-09-18 17:12:43.340000, ST02 HHZ JP , trigger
2012-09-18 17:14:50.530000, ST02 HHZ JP , trigger
